algorithm,model,round,rmse,mae,r2
FedProx,Residual,17,0.3748451525702049,0.323210524260893,-153141.58889458762
FedProx,Residual,18,0.3745850321812252,0.3237161993823277,-150554.2232248008
FedProx,Residual,19,0.37431288054987,0.3241981814217693,-147982.89889383232
FedProx,Residual,20,0.3740892840316682,0.3246268401141745,-145811.82478088487
FedProx,Residual,21,0.3739481327297003,0.3250529580669369,-144226.84803851167
FedProx,Residual,22,0.3735953008897836,0.3252664497793244,-142194.98301031635
FedProx,Residual,23,0.3732152111344207,0.3254215886754185,-140166.72912134815
FedProx,Residual,24,0.3728578544050976,0.3255842220044723,-138407.95024130843
FedProx,Residual,25,0.3723754983062692,0.3255501153808486,-136773.37780770936
FedProx,Dual,1,0.3324437860765378,0.3050716207452734,-4110.876953480323
FedProx,Dual,2,0.3572059698274638,0.3194376419057745,-26940.85023101646
FedProx,Dual,3,0.3751391722317679,0.3323229748644393,-48637.363391437095
FedProx,Dual,4,0.3832207890189414,0.3379956996739434,-59963.33787886078
FedProx,Dual,5,0.386587478472579,0.3407302557741192,-64500.31342081194
FedProx,Dual,6,0.3878007290734471,0.3418232119512893,-65726.4351959966
FedProx,Dual,7,0.388574193650568,0.3425460300148057,-65824.67901204215
FedProx,Dual,8,0.3894437045520764,0.3433712310499801,-65388.99100322422
FedProx,Dual,9,0.3903890655846847,0.3443013325935927,-64943.61243751976
FedProx,Dual,10,0.3914171088570224,0.3452814278472706,-64611.70141622513
FedProx,Dual,11,0.3926359023188449,0.3464650616756851,-64520.8578280816
FedProx,Dual,12,0.3939168955286207,0.3477150912810712,-64476.4541282503
FedProx,Dual,13,0.395239582282955,0.3489650951695149,-64606.40445561568
FedProx,Dual,14,0.3965171443386437,0.3501855498196161,-64676.79317654206
FedProx,Dual,15,0.3977569789044686,0.3513556460871219,-64702.75522939517
FedProx,Dual,16,0.3988474901494389,0.3523553766454251,-64604.02457978562
FedProx,Dual,17,0.3998695379853941,0.3533219422994473,-64507.71334956526
FedProx,Dual,18,0.4008583106169748,0.3542653942883328,-64414.74542888732
FedProx,Dual,19,0.4017021941405316,0.3550786677558099,-64368.504680573205
FedProx,Dual,20,0.4023377120552266,0.3557087336724169,-64320.00533874927
FedProx,Dual,21,0.4028854481588821,0.3562669670487539,-64233.362215042114
FedProx,Dual,22,0.4033984421865747,0.3567939252316009,-64230.24231023319
FedProx,Dual,23,0.403787079421836,0.3572349500938962,-64142.70158848067
FedProx,Dual,24,0.4040939004786177,0.357592496477552,-63970.35807989855
FedProx,Dual,25,0.4043619536029805,0.357912698272871,-63859.05660491165
FedProx,DeepFM,1,18.77639669890359,10.51274944462131,-1052766143.8552358
FedProx,DeepFM,2,17.543057393788263,9.629573748798906,-928116272.234596
FedProx,DeepFM,3,16.336626616216915,8.75671596728226,-810941867.1692008
FedProx,DeepFM,4,15.173010596194384,7.902056963351574,-703050362.3456692
FedProx,DeepFM,5,14.088658073173509,7.083458167387857,-608360982.2830007
FedProx,DeepFM,6,13.070173357032674,6.3327700031662655,-523390196.2078461
FedProx,DeepFM,7,12.12050731862514,5.785273291524139,-448884371.28197145
FedProx,DeepFM,8,11.20556153507117,5.386857670199892,-382147247.39966303
FedProx,DeepFM,9,10.315148768124525,4.962818222745651,-322867741.52004904
FedProx,DeepFM,10,9.450473362011245,4.567305257219841,-270336801.5235462
FedProx,DeepFM,11,8.608619703522,4.16964632073689,-223440861.3719221
FedProx,DeepFM,12,7.796907295659381,3.803513921836558,-182625738.57359812
FedProx,DeepFM,13,6.995957324428372,3.442324696976187,-146366574.02653223
FedProx,DeepFM,14,6.220317320747485,3.071085187850392,-114964792.36484328
FedProx,DeepFM,15,5.470910087552467,2.735372396208909,-88173961.98637916
FedProx,DeepFM,16,4.728767973119107,2.379025615005376,-65159953.58201487
FedProx,DeepFM,17,4.024444483015059,2.050055819990765,-46300717.70233877
FedProx,DeepFM,18,3.330665584052689,1.7290705086267266,-30871580.547326703
FedProx,DeepFM,19,2.6866470726923217,1.4191569688554808,-19191349.04385065
FedProx,DeepFM,20,2.0752153050184394,1.1383309061581723,-10497559.703900049
FedProx,DeepFM,21,1.491881175702273,0.8654058968978943,-4586086.894013772
FedProx,DeepFM,22,1.030505344026712,0.6831696496487502,-1421963.388941324
FedProx,DeepFM,23,0.6732982002553372,0.4896951688613958,-235918.0199564748
FedProx,DeepFM,24,0.6357647951467293,0.4753955062118691,-177520.55086117427
FedProx,DeepFM,25,0.5560159171999765,0.4279959242928426,-91595.9599847844
FedProx,AutoInt,1,0.2842916773585659,0.2479196980674153,-32962.35651693026
FedProx,AutoInt,2,0.2661905316363388,0.2453976091004004,-9444.116025579417
FedProx,AutoInt,3,0.2552847008684047,0.2315325708454229,-24596.841191883457
FedProx,AutoInt,4,0.2586560595326476,0.2382804393663557,-12908.823340826588
FedProx,AutoInt,5,0.2602351709239676,0.2376002009388432,-26506.88417010316
FedProx,AutoInt,6,0.2555134338449371,0.2337109878894943,-18015.53698542751
FedProx,AutoInt,7,0.2707366636865017,0.246116943487174,-33103.06908900792
FedProx,AutoInt,8,0.2526276533185164,0.229576444178034,-23330.28944986776
FedProx,AutoInt,9,0.2718085859769136,0.2481368128504925,-34957.1532334083
FedProx,AutoInt,10,0.2437642561031045,0.2219801435741368,-18757.258340373817
FedProx,AutoInt,11,0.2688412346326993,0.2453178874951883,-38314.33644911023
FedProx,AutoInt,12,0.2561606620016527,0.2338586850566478,-19512.833615730437
FedProx,AutoInt,13,0.2653695706706124,0.2424382156052467,-31555.31467017055
FedProx,AutoInt,14,0.2505166420456998,0.2300312193945338,-20451.22013376635
FedProx,AutoInt,15,0.2807483142606566,0.2574422962845734,-36252.65870517
FedProx,AutoInt,16,0.2556253522442541,0.2338382773533437,-21756.8986310741
FedProx,AutoInt,17,0.2737093976063676,0.2506292338019829,-23699.915349154144
FedProx,AutoInt,18,0.2538601696671631,0.2330997840800897,-18874.176292240933
FedProx,AutoInt,19,0.2831184795213634,0.2596627159178362,-27742.25241096912
FedProx,AutoInt,20,0.2543728944060528,0.2326822584406562,-13508.256944936273
FedProx,AutoInt,21,0.2764142491043686,0.2539900019699429,-31294.080264839013
FedProx,AutoInt,22,0.2568122422739295,0.2353496659082247,-20259.522436309573
